epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1546,1.34231,1.94346,1.32533,0.50816,0.36811,0.38618,0.2024,1.69213,1.98809,1.58634,0.000664,0.000664,0.000664
2,101.229,1.64151,1.95352,1.55412,0.44374,0.32763,0.32698,0.16173,1.77828,2.1501,1.67702,0.00131749,0.00131749,0.00131749
3,148.905,1.72074,1.94625,1.60774,0.4271,0.30967,0.28626,0.13192,2.00737,2.25287,1.90225,0.00195779,0.00195779,0.00195779
4,196.52,1.69575,1.93986,1.60517,0.48565,0.40547,0.3968,0.20387,1.75303,2.06866,1.68684,0.0019406,0.0019406,0.0019406
5,243.655,1.66097,1.8711,1.58197,0.48787,0.38794,0.37241,0.18754,1.77627,1.95761,1.66398,0.0019208,0.0019208,0.0019208
6,290.828,1.63203,1.82307,1.57524,0.54799,0.42301,0.43698,0.22891,1.6852,1.71762,1.62915,0.001901,0.001901,0.001901
7,337.832,1.60436,1.77551,1.53406,0.50562,0.39136,0.39307,0.20677,1.66304,1.8308,1.60725,0.0018812,0.0018812,0.0018812
8,384.876,1.57296,1.71605,1.51176,0.56856,0.41317,0.4422,0.23175,1.6555,1.66809,1.5623,0.0018614,0.0018614,0.0018614
9,431.487,1.54761,1.65263,1.49223,0.55693,0.41446,0.43663,0.23563,1.64449,1.71401,1.57285,0.0018416,0.0018416,0.0018416
10,478.418,1.52657,1.65033,1.47988,0.51754,0.40847,0.41792,0.2199,1.66063,1.73558,1.57619,0.0018218,0.0018218,0.0018218
11,525.291,1.53223,1.62117,1.47643,0.60719,0.44033,0.4889,0.2728,1.56085,1.55724,1.49677,0.001802,0.001802,0.001802
12,572.056,1.50094,1.59237,1.46211,0.6394,0.47092,0.52434,0.29871,1.51478,1.46759,1.47619,0.0017822,0.0017822,0.0017822
13,619.465,1.46815,1.52521,1.439,0.59922,0.47003,0.5032,0.28612,1.50078,1.50547,1.47482,0.0017624,0.0017624,0.0017624
14,666.262,1.4528,1.53513,1.43109,0.59106,0.44098,0.4782,0.27028,1.57144,1.53497,1.51997,0.0017426,0.0017426,0.0017426
15,713.571,1.45174,1.48832,1.42586,0.63245,0.45894,0.5133,0.29805,1.47405,1.46415,1.43532,0.0017228,0.0017228,0.0017228
16,760.469,1.43971,1.51103,1.42889,0.64634,0.46835,0.5248,0.29745,1.48973,1.4542,1.45566,0.001703,0.001703,0.001703
17,807.436,1.43922,1.47906,1.41334,0.6425,0.48121,0.5349,0.31296,1.47113,1.42438,1.44302,0.0016832,0.0016832,0.0016832
18,854.061,1.40892,1.44047,1.39499,0.58856,0.44237,0.48813,0.28333,1.521,1.55205,1.48524,0.0016634,0.0016634,0.0016634
19,900.823,1.39907,1.42872,1.38591,0.66346,0.46966,0.53848,0.31743,1.45753,1.39469,1.42044,0.0016436,0.0016436,0.0016436
20,947.221,1.40206,1.42119,1.39415,0.66214,0.4876,0.53895,0.31439,1.49182,1.42935,1.44742,0.0016238,0.0016238,0.0016238
21,993.863,1.37428,1.40965,1.37485,0.64562,0.48332,0.53808,0.31322,1.46743,1.38675,1.43096,0.001604,0.001604,0.001604
22,1040.72,1.36657,1.39333,1.37377,0.68551,0.47733,0.55662,0.32918,1.44498,1.3456,1.41345,0.0015842,0.0015842,0.0015842
23,1088.28,1.36329,1.39527,1.37519,0.686,0.50898,0.57174,0.33689,1.43158,1.33872,1.39111,0.0015644,0.0015644,0.0015644
24,1136.13,1.37628,1.37051,1.3663,0.67655,0.48845,0.56081,0.33102,1.45655,1.33467,1.41704,0.0015446,0.0015446,0.0015446
